registros,Crit_Julg,Cmp_Gru,I_Cmp,I_Und
1,Menor Valor,Grupo 16,ARROZ,PACOTE
1,Menor Valor,Grupo 14,ARROZ BENEFICIADO,GRAMA
1,Menor Valor,Grupo 15,ARROZ IN - NATURA,PACOTE 05 KG
1,Menor Valor,Grupo 15,ARROZ IN - NATURA,QUILOGRAMA
1,Menor Valor,Grupo 12,CREME ARROZ,"CAIXA 200,00 G"
1,Menor Valor,Grupo 13,ARROZ,"SACO 1,00 KG"
1,Menor Valor,Grupo 13,CREME ARROZ,"EMBALAGEM 400,00 G"
1,Menor Valor,Grupo 1,CASCA ARROZ,KG
1,Menor Valor,NULL,CREME ARROZ,"CAIXA 200,00 G"
1,Menor Valor,Grupo 1,ARROZ,FRD.
1,Menor Valor,Grupo 1,ARROZ,KILO
1,Menor Valor,Grupo 8,ARROZ,EMB. DE 500G
1,Menor Valor,Não se Aplica,ARROZ IN - NATURA,PACOTES C/ 5 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB. DE 05KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB. DE 5 KG
1,Menor Valor,Grupo 6,CASCA ARROZ,QUILOGRAMA
1,Menor Valor,Grupo 5,LEITE DE ARROZ,"CAIXA 1,00 L"
1,Menor Valor,Grupo 3,ARROZ,FDO 30KG.
1,Menor Valor,Grupo 3,ARROZ,PCT
1,Menor Valor,Grupo 3,FARINHA ARROZ,EMBALAGEM
1,Menor Valor,Grupo 5,ARROZ IN - NATURA,PACOTE DE 1 KILO
1,Menor Valor,Grupo 5,ARROZ,UNIDADE
1,Não Informado,Não se Aplica,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,SERV
1,Não Informado,Não se Aplica,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),330
1,Não Informado,Não se Aplica,ARROZ,SC 5 KG
1,Não Informado,Não se Aplica,ARROZ,PACOTE 01KG
1,Não Informado,Não se Aplica,ARROZ,KL
1,Não Informado,Não se Aplica,ARROZ,KQ
1,Não Informado,Não se Aplica,ARROZ,PACOTE COM 5KG
1,Não Informado,Não se Aplica,ARROZ,PC 5KG
1,Não Informado,Não se Aplica,ARROZ,PCT COM 05 KILO
1,Não Informado,Não se Aplica,ARROZ,PCT.C/05KG
1,Não Informado,Não se Aplica,ARROZ,FARDO C/10 KILOS
1,Não Informado,Não se Aplica,ARROZ,FDR
1,Não Informado,Não se Aplica,ARROZ,FDS.C/30 KILOGRAMAS
1,Não Informado,Não se Aplica,ARROZ,FRADOS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PAC. 5KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE 05 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT C/5 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SCS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,UNIDADES
1,Não Informado,Não se Aplica,ARROZ,2640
1,Não Informado,Não se Aplica,ARROZ,"ENVELOPE 15,00 G"
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDOS DE 30 KG.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,KG SACO 5K
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,CX 500GR
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO 30K
1,Menor Valor,Não tem Grupo,ARROZ,PCT 5 K CADA
1,Menor Valor,Não tem Grupo,ARROZ,PCT C/ 05 KG
1,Menor Valor,Não tem Grupo,ARROZ,QUILOGRAMAS
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO 30 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO 30KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO 6 X 5 KG
1,Menor Valor,Não tem Grupo,ARROZ,EMB DE 5KG
1,Menor Valor,Não tem Grupo,ARROZ,EMB. 5KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO COM 30 X 01KG
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE 250G
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE 5 KGS
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE 5 KG.
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PCT 1KG
1,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM DE 1KG
1,Menor Valor,Grupo 5,ARROZ,EMB 500G
1,Menor Valor,Grupo 5,ARROZ,PACOTE 5KG
1,Menor Valor,Grupo 6,ARROZ IN - NATURA,EMBALAGEM DE 05 KG
1,Menor Valor,Grupo 6,ARROZ IN - NATURA,EMBALAGEM_DE_5KG
1,Menor Valor,Grupo 6,ARROZ,360G
1,Menor Valor,Grupo 8,ARROZ,UNIDADE
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,SACA DE 60 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMBALAGEM 250G
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMBALAGEM 5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE C/01 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE COM 1KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"PACOTE DE 1,0KG"
1,Menor Valor,Não se Aplica,ARROZ IN - NATURA,FARDO DE 30 KG
1,Menor Valor,Grupo 9,ARROZ IN - NATURA,PACOTE COM 5 KG
1,Menor Valor,Grupo 9,ARROZ,PACOTE
1,Menor Valor,Grupo 2,ARROZ IN - NATURA,SACO 40 KG
1,Menor Valor,Grupo 11,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
1,Menor Valor,Grupo 17,ARROZ BENEFICIADO,EMBALAGEM 5 KG
1,Menor Valor,Grupo 17,FARINHA ARROZ,UNIDADE
1,Menor Valor,Grupo 18,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
1,Menor Valor,Grupo 19,ARROZ,"PACOTE 1,00 KG"
1,Menor Valor,Grupo 2,FARINHA ARROZ,LT
1,Menor Valor,Grupo 3,ARROZ,EMB DE 500G
1,Menor Valor,Grupo 3,ARROZ,EMBALAGEM 500 G
1,Menor Valor,NULL,ARROZ,EMB 05 KG
1,Menor Valor,Grupo 1,ARROZ,PACOTE 1 KG
1,Menor Valor,Grupo 1,ARROZ,PACOTE 5KG
1,Menor Valor,Grupo 1,ARROZ,EMBALAGEM DE 500G
1,Menor Valor,Grupo 1,ARROZ,FARDO DE 30KG
1,Menor Valor,Grupo 14,ARROZ,EMBALAGEM DE 05 KG
1,Menor Valor,Grupo 14,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
1,Menor Valor,Grupo 14,CREME ARROZ,"CAIXA 200,00 G"
1,Menor Valor,Grupo 11,ARROZ,"FARDO 30,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ,UNIDADES
1,Menor Valor,Não tem Grupo,CASCA ARROZ,PACOTE 1 QUILOGRAMA
1,Menor Valor,Não tem Grupo,CASCA ARROZ,SACO C/ 40KG
1,Menor Valor,Não tem Grupo,LEITE DE ARROZ,CX
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,111
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,16450
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,5KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARD
1,Menor Valor,Não tem Grupo,ARROZ,"PACOTE COM 5,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE DE 1 KG
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE DE 1 QUILO
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE DE 5 QUILOS
1,Menor Valor,Não tem Grupo,ARROZ,PC
1,Menor Valor,Não tem Grupo,ARROZ,PA
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE (500 G)
1,Menor Valor,Não tem Grupo,ARROZ,FARDO C/ 30 PACOTES
1,Menor Valor,Não tem Grupo,ARROZ,FARDO COM 6 PACOTES
1,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM C/ 5 KG
1,Menor Valor,Não tem Grupo,ARROZ,KG (EMBALAGENS DE 1
1,Não Informado,Não se Aplica,ARROZ,PACOTE C/05KG.
1,Não Informado,Não se Aplica,ARROZ,FS
1,Não Informado,Não se Aplica,ARROZ,LATAS
1,Não Informado,Não se Aplica,ARROZ,NAO INFORMADO
1,Não Informado,Não se Aplica,ARROZ,PAC 5KG
1,Não Informado,Não se Aplica,ARROZ,"PACOTE 250,00 KG"
1,Não Informado,Não se Aplica,ARROZ,"CAIXA 250,00 G"
1,Não Informado,Não se Aplica,ARROZ,"CAIXA 30,00 UN"
1,Não Informado,Não se Aplica,ARROZ,450
1,Não Informado,Não se Aplica,ARROZ,ARROZ TIPO 1
1,Não Informado,Não se Aplica,ARROZ,FARDO C/10 X 1
1,Não Informado,Não se Aplica,ARROZ,FARDO C/30 X 1 KG.
1,Não Informado,Não se Aplica,ARROZ,FARDO C/5KG
1,Não Informado,Não se Aplica,ARROZ,FARDO(C/30PCT.DE 01
1,Não Informado,Não se Aplica,ARROZ,FARDO.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACAS/40KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SC 40 KG
1,Não Informado,Não se Aplica,ARROZ,"*FRASCO 500,00 ML"
1,Não Informado,Não se Aplica,ARROZ,"1,00 KG"
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT COM 5 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT. 5 KG.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCTE 5KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PORÇÃO
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,QUILOGRAMAS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO COM 30X01.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FD 6X5
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FD C/ 5KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,KG..
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,"PACOTE 5,0 KG"
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT 05
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT 5K
1,Não Informado,Não tem Grupo,CASCA ARROZ,SACO
1,Não Informado,Não se Aplica,FARINHA ARROZ,"CAIXA 10,00 UN"
1,Não Informado,Não se Aplica,CASCA ARROZ,T
1,Não Informado,Não se Aplica,CASCA ARROZ,TO
1,Não Informado,Não se Aplica,ARROZ,PACOTES 5KILOS
1,Não Informado,Não se Aplica,ARROZ,PCT DE 05 KG
1,Não Informado,Não se Aplica,ARROZ,PCTE 1 KG
1,Não Informado,Não se Aplica,ARROZ,PCTE 5 KG
1,Não Informado,Não se Aplica,ARROZ,PCTS 05 KILOS
1,Não Informado,Não se Aplica,ARROZ,PTE
1,Não Informado,Não se Aplica,ARROZ,QUILIGRAMAS
1,Não Informado,Não se Aplica,ARROZ,SACO DE 5KG
1,Não Informado,Não se Aplica,ARROZ,UNID.
1,Não Informado,Não se Aplica,ARROZ,UNIDADE C/ 300 GRS
1,Não Informado,Não se Aplica,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,KG
1,Não Informado,Não se Aplica,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),"PACOTE 100,00 UN"
1,Não Informado,Não se Aplica,CASCA ARROZ,KILOS
1,Não Informado,Não se Aplica,CASCA ARROZ,PT
1,Não Informado,Não se Aplica,CASCA ARROZ,"SACO 50,00 KG"
1,Não Informado,Não se Aplica,CASCA ARROZ,175GR
1,Não Informado,Não se Aplica,CASCA ARROZ,JG
1,Não Informado,Não se Aplica,ARROZ,"LATA 250,00 G"
1,Não Informado,Não se Aplica,ARROZ,PACOTES 5 KILOS
1,Não Informado,Não se Aplica,ARROZ,PACOTE COM 5 KG.
1,Não Informado,Não se Aplica,ARROZ,PACOTE DE 1KG
1,Não Informado,Não se Aplica,ARROZ,SM
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE COM 5 KG CADA
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"SACO 40,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ,LOTE
1,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 00005,00KG"
1,Menor Valor,Não tem Grupo,CASCA ARROZ,EMBALAGEM 10 KG
1,Menor Valor,Não tem Grupo,CASCA ARROZ,"SACO 25,00 KG"
1,Menor Valor,Não tem Grupo,CASCA ARROZ,SACOS 60KG
1,Menor Valor,Não tem Grupo,ARROZ,QUILOGRAM
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PCT 5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO 6X5 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"PACOTE 0000001,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"PACOTE 0000005,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"PACOTE COM 1,0KG"
1,Menor Valor,Não tem Grupo,ARROZ,EMB 05 KG
1,Menor Valor,Não tem Grupo,ARROZ,EMBLAGEM
1,Menor Valor,Não tem Grupo,ARROZ,FARDO 30 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO 30KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO 6 X 5 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO DE 30KG
1,Não Informado,Não se Aplica,ARROZ,FARDP
1,Não Informado,Não se Aplica,ARROZ,FDP
1,Não Informado,Não se Aplica,ARROZ,FRADO 30 KG.
1,Não Informado,Não se Aplica,ARROZ,FARDO C/30KILO
1,Não Informado,Não se Aplica,ARROZ,FARDO 30KG.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACO  5K
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACO 5 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACO KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACOS DE ARROZ TIPO
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SC 5KG
1,Não Informado,Não se Aplica,ARROZ,1920
1,Não Informado,Não se Aplica,ARROZ,372
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTES COM 05 KG.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT C/ 5KG X 1
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT_(5KG)
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,KL
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,3200
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,DF COM 30.
1,Menor Valor,Não tem Grupo,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,SERVIÇO
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO C/30 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO/30KILOS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,GALÃO
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,KG SACO DE40 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB. 5 KG
1,Menor Valor,Não se Aplica,ARROZ,"SACO 50,00 KG"
1,Menor Valor,Grupo 4,ARROZ,EMB DE 5KG
1,Menor Valor,Grupo 4,ARROZ,EMBALAGEM DE 05 KG
1,Menor Valor,Grupo 6,ARROZ,PCT
1,Menor Valor,Grupo 5,ARROZ BENEFICIADO,"EMBALAGEM 2,00 KG"
1,Menor Valor,Grupo 5,CREME ARROZ,"CAIXA 200,00 G"
1,Menor Valor,Grupo 6,ARROZ,30G
1,Menor Valor,Grupo 4,ARROZ,25G
1,Menor Valor,Grupo 4,ARROZ BENEFICIADO,"EMBALAGEM 2,00 KG"
1,Menor Valor,Grupo 4,CREME ARROZ,"CAIXA 200,00 G"
1,Menor Valor,Grupo 5,ARROZ IN - NATURA,KILOGRAMA
1,Menor Valor,Grupo 5,ARROZ IN - NATURA,PCT C/5 KG
1,Menor Valor,Grupo 3,FARINHA ARROZ,"EMBALAGEM 1,00 KG"
1,Menor Valor,Grupo 3,FARINHA ARROZ,QUILOGRAMA
1,Menor Valor,Grupo 4,ARROZ IN - NATURA,EMB. DE 5 KG
1,Menor Valor,Grupo 4,ARROZ IN - NATURA,EMBALAGEM 5KG
1,Menor Valor,Grupo 3,ARROZ,EMBALAGEM DE 500 G
1,Menor Valor,Grupo 3,ARROZ,FARDO
1,Menor Valor,Grupo 1,ARROZ,UN COM 1KG
1,Menor Valor,Grupo 1,ARROZ,UNID
1,Menor Valor,Grupo 1,ARROZ BENEFICIADO,GRAMA
1,Menor Valor,Grupo 10,ARROZ IN - NATURA,PACOTE
1,Menor Valor,Grupo 10,ARROZ IN - NATURA,PC
1,Menor Valor,NULL,ARROZ,FARDO
1,Menor Valor,Grupo 1,ARROZ,FRD
1,Menor Valor,Grupo 1,ARROZ,PACOTE 1KG
1,Menor Valor,Grupo 18,ARROZ IN - NATURA,QUILOGRAMA
1,Menor Valor,Grupo 16,ARROZ,FARDO 30X1KG
1,Menor Valor,Grupo 16,ARROZ,"PACOTE 5,00 KG"
1,Menor Valor,Grupo 2,ARROZ,PACOTE 5 KG
1,Menor Valor,Grupo 2,ARROZ,PCT
1,Menor Valor,Grupo 11,ARROZ,EMBALAGEM 1KG
1,Menor Valor,Grupo 10,ARROZ,UNIDADE
1,Menor Valor,Grupo 12,ARROZ,"SACO 5,00 KG"
1,Menor Valor,Grupo 12,ARROZ,UNIDADE
1,Menor Valor,Grupo 15,ARROZ IN - NATURA,EMBALAGEM
1,Menor Valor,Grupo 15,ARROZ,"PACOTE 5,00 KG"
